schema,definitionId,workstationTag,seedIndex,deterministicSeed,observationId,facilitySemanticId,operationSemanticId,batchSemanticId,actualBatchMassGrams,clearanceMicroHours,canonicalResolvedOutputVectorDigest,canonicalReceiptDigest,canonicalRunDigest,currentSourceDigest,gameplaySceneSha256,measurementPortfolioDigest,acceptedPortfolioDigest
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,0,157181,output-clearance-observation:building:1019:workstation:forge-basic:157181,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157181:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157181:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157181:aggregate,18000,959999,9635f4d58cb151c9dd808c1fda4b76d395828d4799d1dfce786630ada0f4747c,096e10addf6ab309351cccb0601d7fd6cab315376897c5293fe3436dcd42f319,033f45d33b39d5f87801d8731561c0e5a0c5126692f0ca20995ab32c8a6ae2c2,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,1,157182,output-clearance-observation:building:1019:workstation:forge-basic:157182,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157182:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157182:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157182:aggregate,18000,960001,6b9c44a8af5fd15b007ce86fe0778acc3cbb064031ec8024705018acfa5f62d1,86ba145c72a9b1b4dd662dee86bae28a4d48f21e17a3be43061740029a1141be,c3c0ecbfee5c03028e86ef9f7aa5fe0942b0cd6f0c02cf8068ea13b0906f00cf,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,2,157183,output-clearance-observation:building:1019:workstation:forge-basic:157183,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157183:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157183:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157183:aggregate,18000,960002,d0a1879a88c9bd3d4956aac4ff17e4acd0d33f841449e9459c6c2325dde5ebb0,f6a3f588b9f43c2b5e9afe5438d602fbaa5642c5a84aa5da5019db9cca94723e,ca634cb771748fad14663261f674e455b5bb5532f536fd18b5e847c567eca718,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,3,157184,output-clearance-observation:building:1019:workstation:forge-basic:157184,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157184:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157184:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157184:aggregate,18000,959998,4a5c67b5fcee56f93fabe7e75385c631e777de1e0623ccdb2a84684d852401aa,6a7bf9b37a4db31bd13831caa091e077922dd44326d7361f69d9bf66454941cb,980649f763fba7d2d9c60524876b44cff31f816e274bef80fb476ed18cc6b8e5,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,4,157185,output-clearance-observation:building:1019:workstation:forge-basic:157185,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157185:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157185:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157185:aggregate,18000,960001,99df32d9c56a45f56e8f45b2ecaf745bf097a3da436748a5f35a8be9db54ac07,82abf43fab03138b0fb96cd857addaaad8a3eb8f6186430133f3d743f346960a,4f1f02b3e712acf8dbb5a8e1f83e9324f73aff9d231433221106ea906795d1a4,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,5,157186,output-clearance-observation:building:1019:workstation:forge-basic:157186,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157186:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157186:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157186:aggregate,18000,960001,fb632b11dfec08af6f44a8e4e9b4fa437e1303e8a898a3821c4cb250e23285c7,a58ab1a360a666da7f6687ea35cd02772e82e7ce3c9205b196a48fb205a275d4,8c5d16fab7c408da6f883e8588d3c26d21bd6a7f8630cc0453a099f8bcd902c3,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,6,157187,output-clearance-observation:building:1019:workstation:forge-basic:157187,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157187:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157187:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157187:aggregate,18000,960001,f59d2f15a61a2565d0fb3abfe35c2c3c658e1a6bb3f838f43a156033596f39e8,e9317120b6510cc1ac5b01f01824ac7cda91276c74309a17556eeb3f37aefbfa,8f57a8bdfa3315b7a34b85c0f2d83bf5970a862fbfee60deaf22b3c3166cc76e,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,7,157188,output-clearance-observation:building:1019:workstation:forge-basic:157188,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157188:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157188:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157188:aggregate,18000,960001,ae48bc82fe4057b221107403b29afbc12ae35adacca0b85845a8d58f9a02eef0,db522498d6df930cbeff64b9714a4fe4659ddea7bae5c99dab9ad1a708e963c6,19cbcee3ba5d7e18a95536245bc8154ffac14bb5c53674131a1b6fe8c67e6292,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,8,157189,output-clearance-observation:building:1019:workstation:forge-basic:157189,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157189:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157189:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157189:aggregate,18000,960002,914ef97288e7c9919000a67d44ae668bf74ada2e9886e6a9fc7e9e00ada0d2ff,b79ede0a7473582005fe43f8141d4bd9feaa6cc20db63c0c383ba163006a4e18,af7ce022227a868f73723c67ef4df5f17995e37b422ea3e1aef0f4eac3127495,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,9,157190,output-clearance-observation:building:1019:workstation:forge-basic:157190,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157190:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157190:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157190:aggregate,18000,960002,26af34c8500b71c6ead0820623e650eaeccbe0f91cd32ce183de17e135bac6ab,e85bc313ee04a5051f0a6ccf94543ea147a251600503dae0c8b7569a74d6e857,5964f4a97f2f8f1e1944de1adcd14e11ad7cbfa36e7f3a0aa71e492d9da77814,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,10,157191,output-clearance-observation:building:1019:workstation:forge-basic:157191,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157191:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157191:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157191:aggregate,18000,960002,886ddbdd21671226fb444576a3c3ae6a2c1ea85dffdadeac71ac7d65c4245eb1,4a155a3edea9526258116c321e88c9117ccf18e88918393032c798055f62a412,be5586dfff5278aabf55d43143e1bde022d00d9f86db449e313418423f4aca89,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,11,157192,output-clearance-observation:building:1019:workstation:forge-basic:157192,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157192:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157192:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157192:aggregate,18000,960009,fab53eae763bf5764f02fc862372dacceccbdabdf47d53d18c3f05bdff39ebfe,63e057fab102d44d73b4767ed3a501e95ec3bc1e3ece87070adbc05d1e2b1ba8,07007f757ad5e47c4779a8eb2abe90ff55e248772341dedfd0da59a099d18102,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,12,157193,output-clearance-observation:building:1019:workstation:forge-basic:157193,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157193:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157193:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157193:aggregate,18000,960009,0b64411d4b67f6831d0f39cd4ea242773b9289e86c6bf8476e88dda621aa1567,d166904bd7fa0d475bce4c10d3bddd36f2dcfbf0a9d7132e3dbbc69677580990,439cb1e30bbfaf3d6454d689d5b6e228c9edc914d4fcdbc3f482fc2d680d4b83,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,13,157194,output-clearance-observation:building:1019:workstation:forge-basic:157194,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157194:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157194:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157194:aggregate,18000,959994,d54c5b18338ceb8b75fa39325ef130dc5464e5fbf45434413548e7c1faf28f8c,c57709205672a4a9343a5f4aca3b33698bcd58d1155b6e9a0e1ac89d4c2ba625,9deebe4f715562468cabba1cba1d213264f01b1c71124dde705d4dd661292281,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,14,157195,output-clearance-observation:building:1019:workstation:forge-basic:157195,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157195:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157195:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157195:aggregate,18000,959999,f717a33873b61326f44c5d8ce9144462f248a4ec6edad4182a2a5b5d3d688036,3823e800ac81ae07d1c01cf75a2136e2150cad3c2ba6ec06e98f6154ce7d3f9c,3cd09284058a8e80c4df3af9d55418ace925711d7d1b9011bafbbd85e234b1fe,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,15,157196,output-clearance-observation:building:1019:workstation:forge-basic:157196,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157196:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157196:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157196:aggregate,18000,960002,85e99152464df532acdc3f1fee2cb1741444c259ff58a24f1faa599f227d0b06,9e63d801c9311ad431196eac85dbaffed810412bf0ed4478d0d9544ab193bb83,9084228f1e9ac63c51c70bbd22153c6583824f24218c8238b93bf1b9e63b7732,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,16,157197,output-clearance-observation:building:1019:workstation:forge-basic:157197,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157197:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157197:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157197:aggregate,18000,959997,d7b845d5c7307d142c3569aa241a82c6df575747c9a81a094c854e5f63c246b2,b9ab57ec917e424e47ed26e838cbb77c7ebd93e2a561c7832aaf95afb19646aa,f7954ed27b6501900ca64e8a282caaf4d9151b34b262edb81be14751d6cfa37b,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,17,157198,output-clearance-observation:building:1019:workstation:forge-basic:157198,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157198:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157198:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157198:aggregate,18000,960002,c2ac644f6962f2ab1c86437e05db592bf2f13445276d130e1fe35abb3087d95c,61043ec99b077069b775a92a157ed319258f1cbebc0a7b68946051c19d0aa8b0,e9605ebdcb7812b857e6e700511748f2a36d6d46887b6a8b1d99b84ba5756e54,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,18,157199,output-clearance-observation:building:1019:workstation:forge-basic:157199,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157199:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157199:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157199:aggregate,18000,959998,897086583d7ed387f11a531a04dcb8fe01aa09359b9b9e11bf4b788050dbd604,73d10fee2ae472d2dc0f88016a22d8b250d92790d6fb3f1635fca3e84c62d99c,af8d13613f5fab46848462a48128d1fe17eeec270293147fc6003f013508c819,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,19,157200,output-clearance-observation:building:1019:workstation:forge-basic:157200,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157200:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157200:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157200:aggregate,18000,960002,4590cc71bfbc5463c22287ead172c6936d8067e7e11a6cefd05cc4c3a5c48c66,1e848dcb909ceaac23ee0397fa18736705eebe3ef9d4ec72d49157296781d941,f093fd15d47ed32193afbd2dfe5152d0b3f5d893aec5cedf40c4570e8d5903f6,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,20,157201,output-clearance-observation:building:1019:workstation:forge-basic:157201,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157201:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157201:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157201:aggregate,18000,960001,b04b588f27ccff732a4434b6cb453d757082289b1b0018b6d3cd6717f8966b26,89a86c4765b0bd995e5c152833dfd2eb36a65876f462431901089c88a9e10895,4b0f13e905d7f68e8c179171453725661ec3143f12ceaeb3cc85a42dc16c8f0e,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,21,157202,output-clearance-observation:building:1019:workstation:forge-basic:157202,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157202:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157202:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157202:aggregate,18000,960001,56c57d5097f3f2b2592d8647679396d7a411636c8295133ba49365604bfd15b0,6d4845f50767b138f6960a50931b84a3dfac8ec9c222c6da3ab68483020d006d,25bdc77353e61bbb5b558d94cfe9be7723c3ad949c1ae495594a45b9fc287917,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,22,157203,output-clearance-observation:building:1019:workstation:forge-basic:157203,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157203:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157203:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157203:aggregate,18000,960001,f7cccb89c25d9ed4e4bdf922d8e069b78b299b4ac6c061b7d444cb083a8852f2,f4eed789ee32c19a503d50e78acc4317afae834b2dcc2c2e6cd3c79b66f4f5ab,62173d9e6ad3ec35e549f61c7acd34965c31a1e51954fe4c8f8be87c9b7c83cc,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,23,157204,output-clearance-observation:building:1019:workstation:forge-basic:157204,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157204:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157204:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157204:aggregate,18000,960001,b1b97e911332de77bdbf40fbb5857a2ee003f2f35403ee13b4f8fe473630b098,b5d9dce227878d930295f79e39872a11a3a7d1afed720f77c1914e82ad49e1d4,ab6ce21555595f3b0f129980ace425a94e723abdc8b2b0a6d9be8dcc9f32ca91,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,24,157205,output-clearance-observation:building:1019:workstation:forge-basic:157205,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157205:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157205:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157205:aggregate,18000,959994,03d480d6b363ef49d085442fcd746a57712405f8f22d0d59b111e73431f51ed4,cbffb20c60f791dc02f3d397d1c50b2501dfc600eb492b82fcf66c0c9119291a,74a5a04aebe471805f460b3b49bcc2463f69a54246f477aa6a7712218829cf77,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,25,157206,output-clearance-observation:building:1019:workstation:forge-basic:157206,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157206:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157206:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157206:aggregate,18000,959993,6145979c0002ebfe40b91aa694d55a1bafe374c3137c986e2149e2a49e84dcc8,2b0fe1e78d9ce61566fb3af8c4712eeff715139f8474b52ac3b3acedf2f73748,b14580000fc604a79ca906ea5c51a2a80d2d76ada3ea1528a3e46ddb95eb02dd,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,26,157207,output-clearance-observation:building:1019:workstation:forge-basic:157207,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157207:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157207:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157207:aggregate,18000,959994,98841c02fb9f54413bae15f0efe7eb45f1beb55ce1ebf6928f1d0d044ebd3b0f,7d12cf90e3e75a4bbfa902b34a9ea55e60c9f7f941878f41297b5d4a981008d8,1d4320dafc000183f6c08414da34456370a46f81c819979db22e0d794b8b0335,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
production-output-clearance-natural-artifact-observation@1,building:1019,workstation:forge-basic,27,157208,output-clearance-observation:building:1019:workstation:forge-basic:157208,natural-facility:output-clearance-observation:building:1019:workstation:forge-basic:157208:producer,natural-operation:output-clearance-observation:building:1019:workstation:forge-basic:157208:combat-craft:0000,natural-batch:output-clearance-observation:building:1019:workstation:forge-basic:157208:aggregate,18000,960009,622a8b1dca9fe8ee6b0f6604060e0d5b64433c519a7b93ad022f2dd576730242,59e82864643782554de82ebc3b713e8dbd2840b22fed633f046bf93d40bb62e7,dec5e9ac1d14bc8d238ad55365a660cb1baee37ce2c7b1fab58fbd5b4deb7497,444e10da91803afd572fb9bc947e1bca5ebdb8575793fdc40b8ab26cc827ee35,6c35a17693d3cedca2c85b89b22a8bff9b5bae6de88c01b255481c058d2aee40,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441,da4f4202b9bf79a0333098d79d1b638c0af3435b7c1934259f5dd9f7f15db806
